rkm,size,type
0.586954418,55.18,a
0.603029138,169.74,a
0.62634956,108.55,a
0.75488148,486.57,a
0.864561919,413.96,a
0.899817759,120.99,a
1.718890857,60,a
2.654241346,196.08,a
3.45224894,192,a
3.45224894,270,a
3.399591169,975,a
4.508863667,97.9,a
4.496777032,65,a
4.330648473,17.5,a
4.2880384,183,a
4.309136597,1,a
4.287909868,49.98,a
4.287909868,259.16,a
3.918693631,858,a
3.670748875,424.36,a
1.449058147,1,a
1.522829387,1808.08,a
1.449058147,1,a
1.726985974,87.55,a
1.726985974,448.23,a
1.726985974,2350,a
2.310348488,261.6,a
2.32357226,2610,a
2.454402846,2340,a
2.454402846,67,a
1.640394367,540,a
6.2237738,156.48,a
6.202359107,307.2,a
1.449058147,139.32,a
1.449058147,337.5,a
1.495745293,350,a
1.495745293,79.5,a
1.567196788,67.2,a
0.757501362,660,a
1.326035922,172.26,a
1.32216631,3240,a
2.429860204,676.5,a
4.272285732,734.41,a
1.718890857,255,a
2.654241346,405,a
1.465948291,72.2,a
2.464490609,80.75,a
3.557635563,494,a
3.540307654,87,a
3.511508823,193.2,a
3.511508823,163.2,a
3.477255118,108.9,a
3.399591169,167.9,a
2.351690756,11400,a
1.867106876,542.82,a
1.906948637,60.42,a
1.285742456,532.95,a
0.866435044,193.75,a
